addAdmin, revokeAdmin, bulkMintFRT, singleMintFRT, balanceOf, bulkMintSBT, singleMintSBT, getTokensOwned, tokenURISBT
6,5,10,5,2,95,33,2,6
5,3,7,5,1,91,33,2,4
4,4,6,4,1,91,34,2,4
4,4,6,4,2,93,32,2,4
3,4,6,4,2,90,32,2,4
4,3,5,4,2,89,33,2,5
3,3,5,5,1,89,88,2,4
4,3,6,4,1,105,31,3,4
4,3,5,3,3,89,32,2,5
3,3,5,5,1,89,33,2,5
3,3,6,4,2,90,32,3,5
3,3,6,4,1,91,32,2,5
3,3,7,3,1,89,31,5,4
3,3,6,3,1,90,31,4,4
3,4,5,4,1,90,31,3,5
4,2,5,5,1,90,32,3,7
3,3,7,3,1,93,32,5,4
3,3,6,3,1,91,32,4,4
4,3,5,3,3,91,32,3,5
3,3,6,4,1,91,32,4,5
3,2,7,3,1,92,32,4,4
4,3,6,3,3,115,33,4,5
3,3,6,3,2,90,32,5,4
4,4,5,4,1,93,32,5,5
3,3,6,4,1,91,33,5,5
3,3,6,3,1,92,33,4,5
3,3,6,4,1,93,33,4,5
4,3,6,3,2,92,33,5,4
4,3,5,3,2,93,33,5,5
3,3,6,3,2,94,33,5,5
3,3,6,4,1,94,33,5,5
3,3,6,4,1,93,33,6,6
3,2,6,4,1,93,34,5,5
4,2,6,3,1,95,33,6,4
3,4,6,3,1,106,47,7,4
3,3,6,3,1,95,34,7,4
3,2,7,3,1,95,34,5,6
3,3,6,3,1,95,34,5,6
3,3,6,3,1,96,34,6,5
3,3,6,3,1,96,34,6,5
4,2,7,3,1,96,34,6,6
3,2,7,3,1,96,35,7,4
3,3,6,3,1,100,34,7,5
3,3,6,4,1,97,34,8,4
4,4,5,4,1,98,33,8,4
5,2,6,3,1,97,33,8,6
4,3,5,4,1,96,35,7,6
3,3,5,4,1,107,46,9,5
3,3,6,3,2,95,35,8,5
3,3,7,3,1,97,35,9,4
